state,date,sex,ethnicity,abs
Johor,01/01/2000,both,overall,12144
Johor,01/01/2001,both,overall,12730
Johor,01/01/2002,both,overall,13459
Johor,01/01/2003,both,overall,13671
Johor,01/01/2004,both,overall,13842
Johor,01/01/2005,both,overall,14152
Johor,01/01/2006,both,overall,14546
Johor,01/01/2007,both,overall,15165
Johor,01/01/2008,both,overall,15926
Johor,01/01/2009,both,overall,15971
Johor,01/01/2010,both,overall,16060
Johor,01/01/2011,both,overall,16479
Johor,01/01/2012,both,overall,17201
Johor,01/01/2013,both,overall,17696
Johor,01/01/2014,both,overall,17904
Johor,01/01/2015,both,overall,18853
Johor,01/01/2016,both,overall,19924
Johor,01/01/2017,both,overall,20662
Johor,01/01/2018,both,overall,21117
Johor,01/01/2019,both,overall,21799
Johor,01/01/2020,both,overall,20646
Johor,01/01/2021,both,overall,26951
Johor,01/01/2022,both,overall,25305
Johor,01/01/2023,both,overall,24705
Kedah,01/01/2000,both,overall,8982
Kedah,01/01/2001,both,overall,9197
Kedah,01/01/2002,both,overall,9925
Kedah,01/01/2003,both,overall,10311
Kedah,01/01/2004,both,overall,10095
Kedah,01/01/2005,both,overall,10280
Kedah,01/01/2006,both,overall,10698
Kedah,01/01/2007,both,overall,10847
Kedah,01/01/2008,both,overall,11071
Kedah,01/01/2009,both,overall,11618
Kedah,01/01/2010,both,overall,11674
Kedah,01/01/2011,both,overall,11869
Kedah,01/01/2012,both,overall,12268
Kedah,01/01/2013,both,overall,12516
Kedah,01/01/2014,both,overall,13017
Kedah,01/01/2015,both,overall,13674
Kedah,01/01/2016,both,overall,13771
Kedah,01/01/2017,both,overall,14332
Kedah,01/01/2018,both,overall,14552
Kedah,01/01/2019,both,overall,14302
Kedah,01/01/2020,both,overall,13671
Kedah,01/01/2021,both,overall,18457
Kedah,01/01/2022,both,overall,17628
Kedah,01/01/2023,both,overall,16643
Kelantan,01/01/2000,both,overall,7620
Kelantan,01/01/2001,both,overall,7797
Kelantan,01/01/2002,both,overall,8330
Kelantan,01/01/2003,both,overall,8614
Kelantan,01/01/2004,both,overall,8547
Kelantan,01/01/2005,both,overall,8834
Kelantan,01/01/2006,both,overall,8940
Kelantan,01/01/2007,both,overall,9186
